fid	nid	filename	filepath	filemime	filesize
98	120	preview	sites/files/gainesfilm/images/vogel-brakhage_letters1.preview.jpg	image/jpeg	51476
100	121	thumbnail	sites/files/gainesfilm/images/vogel-brakhage_letters2.thumbnail.jpg	image/jpeg	2125
101	121	preview	sites/files/gainesfilm/images/vogel-brakhage_letters2.preview.jpg	image/jpeg	60177
103	122	thumbnail	sites/files/gainesfilm/images/vogel-brakhage_letters3.thumbnail.jpg	image/jpeg	2257
104	122	preview	sites/files/gainesfilm/images/vogel-brakhage_letters3.preview.jpg	image/jpeg	61452
106	123	thumbnail	sites/files/gainesfilm/images/vogel-brakhage_letters4.thumbnail.jpg	image/jpeg	2324
107	123	preview	sites/files/gainesfilm/images/vogel-brakhage_letters4.preview.jpg	image/jpeg	60133
116	124	_original	sites/files/gainesfilm/images/A_demille_a-23-1.jpg	image/jpeg	813552
117	124	thumbnail	sites/files/gainesfilm/images/A_demille_a-23-1.thumbnail.jpg	image/jpeg	1888
118	124	preview	sites/files/gainesfilm/images/A_demille_a-23-1.preview.jpg	image/jpeg	41152
119	125	_original	sites/files/gainesfilm/images/A_demille_a-23-2.jpg	image/jpeg	343281
120	125	thumbnail	sites/files/gainesfilm/images/A_demille_a-23-2.thumbnail.jpg	image/jpeg	1986
121	125	preview	sites/files/gainesfilm/images/A_demille_a-23-2.preview.jpg	image/jpeg	48826
122	126	_original	sites/files/gainesfilm/images/A_demille_a-23-3.jpg	image/jpeg	302482
123	126	thumbnail	sites/files/gainesfilm/images/A_demille_a-23-3.thumbnail.jpg	image/jpeg	1830
124	126	preview	sites/files/gainesfilm/images/A_demille_a-23-3.preview.jpg	image/jpeg	41390
135	127	thumbnail	sites/files/gainesfilm/images/C_demille_letter_1918-1.thumbnail.jpg	image/jpeg	1970
134	127	_original	sites/files/gainesfilm/images/C_demille_letter_1918-1.jpg	image/jpeg	1163356
128	128	_original	sites/files/gainesfilm/images/C_demille_letter_1918-2.jpg	image/jpeg	1240648
129	128	thumbnail	sites/files/gainesfilm/images/C_demille_letter_1918-2.thumbnail.jpg	image/jpeg	2125
130	128	preview	sites/files/gainesfilm/images/C_demille_letter_1918-2.preview.jpg	image/jpeg	75516
136	127	preview	sites/files/gainesfilm/images/C_demille_letter_1918-1.preview.jpg	image/jpeg	67048
137	129	_original	sites/files/gainesfilm/images/B_demille_1933_letters1.jpg	image/jpeg	440444
138	129	thumbnail	sites/files/gainesfilm/images/B_demille_1933_letters1.thumbnail.jpg	image/jpeg	1961
139	129	preview	sites/files/gainesfilm/images/B_demille_1933_letters1.preview.jpg	image/jpeg	55936
140	130	_original	sites/files/gainesfilm/images/B_demille_1933_letters2.jpg	image/jpeg	248979
141	130	thumbnail	sites/files/gainesfilm/images/B_demille_1933_letters2.thumbnail.jpg	image/jpeg	1508
142	130	preview	sites/files/gainesfilm/images/B_demille_1933_letters2.preview.jpg	image/jpeg	29707
143	131	_original	sites/files/gainesfilm/images/B_demille_1933_letters3.jpg	image/jpeg	559203
144	131	thumbnail	sites/files/gainesfilm/images/B_demille_1933_letters3.thumbnail.jpg	image/jpeg	2273
145	131	preview	sites/files/gainesfilm/images/B_demille_1933_letters3.preview.jpg	image/jpeg	70257
146	132	_original	sites/files/gainesfilm/images/B_demille_1933_letters4.jpg	image/jpeg	295572
147	132	thumbnail	sites/files/gainesfilm/images/B_demille_1933_letters4.thumbnail.jpg	image/jpeg	1782
148	132	preview	sites/files/gainesfilm/images/B_demille_1933_letters4.preview.jpg	image/jpeg	37506
149	133	_original	sites/files/gainesfilm/images/B_demille_1933_letters5.jpg	image/jpeg	444973
150	133	thumbnail	sites/files/gainesfilm/images/B_demille_1933_letters5.thumbnail.jpg	image/jpeg	2046
151	133	preview	sites/files/gainesfilm/images/B_demille_1933_letters5.preview.jpg	image/jpeg	57047
152	134	_original	sites/files/gainesfilm/images/B_demille_1933_letters6.jpg	image/jpeg	419903
