Node ID,Title,Body,Year,Category,Course,Date,Repository,Collection,Source,Copyright,Production Company,Copyright Notes,Film Title,Director,Photographer,Form/Genre,Location,Physical Description,Notes,Embedded Video: media (field_media)
356,The Plow that Broke the Plains Excerpt 1- Windswept Plains,Year:هت1936Collection:هتLumiere Productions  Copyright:هت1936 Copyright Notes:هتNaxos Rights International Film Title:هتThe Plow that Broke the PlainsDirector:هتPare Lorentz; Leo Hurwitz; Paul Strand; Paul Ivano; Ralph Steiner  Physical Description:هتWindswept Plains  media:هت,1936,Documentary Tradition,Documentary Tradition,1936,,Lumiere Productions,,1936,,Naxos Rights International,The Plow that Broke the Plains,Pare Lorentz; Leo Hurwitz; Paul Strand; Paul Ivano; Ralph Steiner,,,,Windswept Plains,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_the_plow_that_broke_the_plains_excerpt_1.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_137&autostart=false&protection=e799af64c4d64e58798fba525a2c967fa65c6dc3""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
357,The River Excerpt 1- Opening Sequence,Year:هت1937Collection:هتLumiere Productions  Copyright:هت2007 Copyright Notes:هتNaxos Rights International Film Title:هتThe RiverDirector:هتPare Lorentz; Floyd Crosby; Willard van Dyke; Virgil Thomson; Thomas Chalmers  Physical Description:هتOpening Sequence  media:هت,1937,Documentary Tradition,Documentary Tradition,1937,,Lumiere Productions,,2007,,Naxos Rights International,The River,Pare Lorentz; Floyd Crosby; Willard van Dyke; Virgil Thomson; Thomas Chalmers,,,,Opening Sequence,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_the_river_excerpt_1.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_139&autostart=false&protection=b36c6ac01cf066dfed912c55f33cc6fb9f1d3a6d""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
358,The River Excerpt 2- Lumber and Cotton,Year:هت1937Collection:هتLumiere Productions  Copyright:هت2007 Copyright Notes:هتNaxos Rights International Film Title:هتThe RiverDirector:هتPare Lorentz; Floyd Crosby; Willard Van Dyke; Virgil Thomson; Thomas Chalmers  media:هت,1937,Documentary Tradition,Documentary Tradition,1937,,Lumiere Productions,,2007,,Naxos Rights International,The River,Pare Lorentz; Floyd Crosby; Willard Van Dyke; Virgil Thomson; Thomas Chalmers,,,,,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_the_river_excerpt_2.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_141&autostart=false&protection=d935a13c734c8e980bfe90fa8fc557f9510c155e""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
360,The River Excerpt 3- Flooding,Year:هت1937Collection:هتLumiere Productions  Copyright:هت2007 Copyright Notes:هتNaxos Rights International Film Title:هتThe RiverDirector:هتPare Lorentz; Floyd Crosby; Willard Van Dyke; Virgil Thomson; Thomas Chalmers  Physical Description:هتFlooding  media:هت,1937,Documentary Tradition,Documentary Tradition,1937,,Lumiere Productions,,2007,,Naxos Rights International,The River,Pare Lorentz; Floyd Crosby; Willard Van Dyke; Virgil Thomson; Thomas Chalmers,,,,Flooding,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_the_river_excerpt_3.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_143&autostart=false&protection=457f7e167ba7c144fe9e6fd6f093b7c71d69e8ca""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
361,The River Excerpt 4- TVA,Year:هت1937Collection:هتLumiere Productions  Copyright:هت2007 Copyright Notes:هتNaxos Rights International Film Title:هتThe RiverDirector:هتPare Lorentz; Floyd Crosby; Willard Van Dyke; Virgil Thomson; Thomas Chalmers  Physical Description:هتThe Tennessee Valley Authority  media:هت,1937,Documentary Tradition,Documentary Tradition,1937,,Lumiere Productions,,2007,,Naxos Rights International,The River,Pare Lorentz; Floyd Crosby; Willard Van Dyke; Virgil Thomson; Thomas Chalmers,,,,The Tennessee Valley Authority,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_the_river_excerpt_4.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_145&autostart=false&protection=e8e2787ebf2b9bd9591a44911e41c7f0f32b791a""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
474,The Strike,Year:هت1912Film Title:هتThe Strikemedia:هت,1912,,Historiography,1912,,,,,,,The Strike,,,,,,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2012_strike.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_147&autostart=false&protection=a00255e850c4f42c8d891ea205c2969b12980868""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
103,The Zapruder Film (Original),media:هت,,,Documentary Tradition,,,,,,,,,,,,,,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/soa_gaines_fall2010_zapruder_original.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_149&autostart=false&protection=d685f88a84cb082e27a00bb2c80438f06b9fe75c""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
100,The Zapruder Film (Restored),media:هت,,,Documentary Tradition,,,,,,,,,,,,,,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/soa_gaines_fall2010_zapruder_restored.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_151&autostart=false&protection=d4da277751466c66414ff5434c40d3d0e2424a6a""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
362,Unemployment Special 1931 Excerpt 1- The Unemployed,Year:هت1931Collection:هتLumiere Productions  Copyright:هت1932 Copyright Notes:هتLeo Seltzer Director:هتWorkers Film and Photo League (Leo Seltzer)  Physical Description:هتUnemployment and Protest  media:هت,1931,Documentary Tradition,Documentary Tradition,1931,,Lumiere Productions,,1932,,Leo Seltzer,,Workers Film and Photo League (Leo Seltzer),,,,Unemployment and Protest,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_unemployment_special_1931_excerpt_1.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_153&autostart=false&protection=864ed8260dddd0c4c81873ce97d31da53bcdf51a""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
92,Within Our Gates (dir./prod. Oscar Micheaux  1920),Year:هت1920 Film Title:هتWithin Our GatesDirector:هتOscar Micheaux  media:هت,1920,Silent African American Cinema,Historiography,1920,,,,,,,Within Our Gates,Oscar Micheaux,,,,,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/soa_gaines_fall2010_wog_full.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_155&autostart=false&protection=9e38f134a42eefd68d6cd6973a37470de66f74b8""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
